,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Label,Split
TCGA-PC-A5DO-01A,-0.050249867,-0.42081514,0.06868132,-0.6238578,-0.08946801,0.25756443,0.26659244,-0.8150832,0.46393067,0.43688604,-0.36185887,0.30145147,-0.80604506,-0.0060798284,-0.3207578,1,train
TCGA-DX-AB35-01A,0.33012486,0.12861949,-0.18067528,0.13255976,0.5303122,-0.22879094,0.35369334,0.2278948,-1.0275561,-0.94122785,-0.58789295,0.1622125,0.013404254,-0.17893273,-0.57370996,0,train
TCGA-DX-A3LU-01A,0.103026256,0.021648414,-0.14501438,-0.23771486,0.10758286,-0.27513525,0.05725247,0.052938737,-0.13870597,-0.6564853,-0.982114,-0.43464166,0.047524966,0.23305915,0.18420108,0,train
TCGA-DX-A3LY-01B,-0.16946527,-0.030542957,0.21557114,-0.48519418,0.07573761,-0.7720821,-0.07533378,0.72739685,-0.46087703,-0.45445502,-0.111435026,0.25428882,-0.015016736,-0.17187749,-0.06156696,0,train
TCGA-MB-A5Y9-01A,-0.12578915,0.12902224,0.44306743,-0.23993969,0.1367363,-0.363885,-0.026430678,0.23503835,-0.17537971,-0.31794545,-0.07759568,-0.34952405,-0.25885177,0.3837084,0.68111783,2,train
TCGA-DX-A48O-01A,0.41753098,-0.0041671856,0.15514278,-0.17405622,-0.27450424,-0.058293242,0.11485488,0.11184583,0.8105717,0.34285316,0.04863329,-0.33143467,-0.20758244,-0.10226679,-0.4692605,1,train
TCGA-HB-A3L4-01A,0.04771297,0.1649181,-0.07326369,0.5966106,0.42109814,-0.09412485,-0.026262773,-0.38276553,0.073197626,0.37264353,-0.1426078,-0.07528503,0.19815722,-0.68740046,-0.29327622,1,train
TCGA-IW-A3M5-01A,-0.57245153,-0.30708843,-0.18029138,0.635684,0.025737414,0.09457764,-0.29423696,-0.018903146,-0.2777692,0.17406271,-0.21551464,0.38572466,0.54431564,0.0026630077,0.06091007,1,train
TCGA-X9-A971-01A,-0.03784353,-0.37714776,-0.38638562,-0.57524645,-0.29907596,0.26713446,-0.13554299,-0.008312164,0.43447277,0.476571,0.7529136,0.5803073,-0.42960358,-0.28337437,-0.06063271,1,train
TCGA-QQ-A8VF-01A,-0.121810615,0.25564596,0.36124328,-0.21899016,0.13791427,-0.18012181,0.01888756,0.3798802,-0.06208562,0.033389,0.6175868,-0.05974451,0.27531734,0.39173257,0.66681653,1,train
TCGA-DX-A6BH-01A,0.10052168,-0.14570236,-0.009450467,-0.22535713,0.010074443,-0.03690694,-0.013319348,-0.10271935,-0.19938837,-0.3520511,-0.0034850887,-0.007728864,0.2736476,0.086721376,0.04516281,0,train
TCGA-FX-A3RE-01A,-0.46113965,0.22278754,0.13562116,-0.0891737,-0.16054751,0.3424858,-0.021748308,-0.2062442,0.6755419,0.17645623,-0.2013103,0.09159977,0.6062934,-0.16633984,-0.10204836,1,train
TCGA-DX-A3U7-01A,0.6711454,-0.032032225,0.24778564,-0.4850574,0.2797454,-0.0858353,-0.07546842,0.8823131,-0.12886946,0.4970905,0.052257366,0.53904873,-0.73171926,-0.2009936,-0.15283725,1,train
TCGA-IS-A3K6-01A,-0.13649037,0.23098159,0.042882644,-0.13336445,0.5161808,-0.41022173,0.020000204,-0.20944203,0.39728984,0.33029276,-0.019272702,-0.27484113,-0.33884352,-0.4113463,-0.019733505,1,train
TCGA-SI-AA8B-01A,-0.12582193,-0.4248884,-0.06450594,0.5947363,-0.12223304,0.06935996,0.094301894,0.06822127,-0.120432585,-0.34216768,-0.23258376,0.49211287,-0.53735226,-0.504674,0.62268263,2,train
TCGA-DX-AB3A-01A,0.15930654,-0.4451563,-0.57224554,0.07476665,0.0364877,0.16620035,-0.06803796,-0.49106258,-0.46153715,-0.52562535,-0.31165436,0.19958828,0.6744599,0.10275334,-0.28592256,0,train
